ID,Group ID,Ineligibility,P1 -Q1,P1 -Q2,P1 -Q3,P1 -Q4,P1 -Q5,P1 -Q6,P1 -Q7,P1 -Q8,P1 -Q9,P1 -Q10,P2-Q1,P2-Q2,P2-Q3,P2-Q4,P2-Q5,P2-Q6,P2-Q7,P2-Q8,P2-Q9,P2-Q10,P2-Q11,P2-Q12,P2-Q13,P2-Q14,P3-Q1,P3-Q2,P3-Q3,P3-Q4,P3-Q5,P3-Q6,P3-Q7,P3-Q8,P3-Q9,P3-Q10,P3-Q11,P3-Q12,P3-Q13,P3-Q14,P3-Q15,P3-Q16,P3-Q17,P3-Q18,P3-Q19,P3-Q20
16,2,,1,2,1,2,1,N/A,1,5,1,"Precision, Recall, F1-score, FPR, FNR",4,5,4,5,4,4,4,4,4,5,5,0,4,4,5,5,3,1,5,4,5,3,4,5,4,3,1,0,0,0,0,1,1,3
17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,0,2,0,2,0,Accuracy,N/A,N/A,0,"Accuracy, F1-score",2,2,2,5,3,3,4,3,3,3,3,0,3,2,2,2,1,1,3,3,3,1,2,2,2,1,0,0,0,0,0,0,0,2
19,2,,1,3,1,3,1,N/A,99.24,5,1,"Precision, Recall, F1-score, MCC, FPR, FNR",5,5,4,5,5,4,5,5,5,5,5,0,5,5,5,5,5,1,5,5,5,3,5,5,5,4,1,1,0,1,1,1,1,3
20,2,,0,2,0,3,1,None,94.6,5,1,"Precision, Recall, F1-score, Accuracy",3,4,3,2,4,3,4,3,4,4,4,0,4,4,4,4,1,1,3,3,4,2,4,4,3,3,0,0,0,0,0,1,1,4
21,2,,0,2,0,3,1,None,N/A,N/A,1,F1-score,5,5,4,3,5,4,5,4,5,5,4,0,5,4,5,4,1,1,5,5,5,3,4,5,4,3,1,0,0,1,0,0,1,5
22,2,,0,2,0,3,0,Accuracy,N/A,N/A,0,Accuracy,3,3,3,4,3,3,4,3,3,3,3,0,3,3,2,1,1,1,2,3,4,1,2,3,2,2,1,0,0,0,0,0,0,3
23,2,,0,1,0,N/A,0,Accuracy,N/A,N/A,0,N/A,2,3,2,5,4,2,4,3,2,3,2,0,4,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,1,3
24,2,,0,1,0,3,1,,N/A,N/A,1,"Precision, Recall, F1-score",5,5,4,4,4,4,5,4,4,5,3,0,4,3,4,4,1,1,1,1,5,1,3,4,3,2,1,0,0,1,0,0,1,4
25,2,,0,2,0,1,0,Accuracy,N/A,N/A,0,N/A,2,4,3,5,4,5,4,4,4,5,2,0,3,3,2,1,1,1,3,4,4,1,1,2,1,2,1,0,0,0,0,0,0,3
26,2,,0,1,1,2,0,"Accuracy, FPR",80.85,4,0,"Recall, F1-score",2,3,1,5,3,2,4,3,2,4,2,0,3,1,1,1,2,1,1,1,2,1,2,2,1,1,0,0,0,0,0,0,0,2
27,2,,1,1,1,1,0,Accuracy,N/A,N/A,1,"Precision, Recall, F1-score",3,4,3,2,5,3,3,3,3,4,2,0,3,2,3,2,1,1,4,5,1,1,3,3,2,1,0,0,0,1,0,0,0,2
28,2,,1,2,0,N/A,1,N/A,N/A,N/A,1,"TPR, FPR, Accuracy, F1-score",4,4,4,4,4,3,5,3,3,4,2,0,4,3,3,4,1,1,1,1,4,1,3,4,4,2,0,0,0,0,0,0,0,4
29,2,,0,1,0,N/A,0,Accuracy,99,5,1,"Precision, Recall, F1-score",1,1,1,5,5,4,4,2,2,1,2,0,4,2,1,1,1,1,1,1,1,1,1,3,1,2,0,1,0,0,0,0,0,3
30,2,,0,1,0,1,0,Accuracy,N/A,N/A,1,"F1-score, TPR, FPR",1,2,1,5,5,3,4,3,3,2,3,0,4,2,1,1,1,1,1,1,1,1,2,2,1,2,0,1,0,0,1,0,0,3
31,3,,0,1,0,2,0,Detection Rate only,N/A,N/A,0,Detection/Non-Detection,3,2,3,4,3,3,4,3,3,4,4,0,3,3,2,1,1,1,2,3,4,1,2,3,2,2,0,0,0,0,0,1,1,4
32,3,,0,2,0,3,0,Accuracy only,N/A,N/A,0,Accuracy,2,1,2,2,3,3,4,3,3,3,3,0,3,2,2,1,1,1,2,1,3,1,2,2,2,2,0,0,0,0,0,0,0,4
33,3,,1,2,0,3,1,"Precision, Recall, F1, FPR, TPR","74.2, 68.9",4,1,"Precision, Recall, F1-score, FPR, TPR",3,3,3,4,4,3,4,3,3,4,3,0,4,3,5,4,3,1,3,4,4,2,4,4,3,2,1,0,0,0,0,0,0,3
34,3,,0,2,0,3,0,Accuracy,N/A,N/A,0,Accuracy,3,2,3,2,4,3,4,3,3,3,3,0,4,2,2,1,1,1,1,1,4,1,2,2,2,1,1,0,0,0,0,0,0,5
35,3,,0,2,0,3,0,Accuracy,N/A,N/A,0,Accuracy,3,3,4,5,4,4,5,4,5,5,5,0,4,5,2,1,1,1,3,3,4,1,2,3,3,4,0,0,0,0,0,1,1,2
36,3,,0,2,0,3,0,Accuracy,N/A,N/A,0,Accuracy,4,5,3,5,4,3,5,4,4,5,4,0,4,3,2,1,1,1,2,2,4,1,2,3,2,2,1,0,0,0,0,0,1,3
37,3,,0,1,0,2,0,Accuracy,N/A,N/A,0,"Accuracy, Recall, F1-score",1,1,1,4,4,3,2,2,3,3,2,0,2,1,2,1,1,1,1,2,2,1,2,1,1,2,0,0,0,0,0,0,0,2
38,3,,0,1,0,1,0,Accuracy,NA,NA,0,"F1-score, ROC-AUC",2,2,2,1,2,1,2,2,2,2,1,0,2,1,1,1,2,1,1,1,1,1,3,2,1,1,0,0,0,0,0,0,0,2
39,3,,0,1,0,5,0,F1,100,5,1,"Precision, Recall, F1-score",4,5,3,5,3,2,4,3,2,5,3,0,3,2,4,5,1,1,5,5,3,1,2,3,2,1,1,1,0,0,0,0,1,4
40,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3,,0,1,0,N/A,1,Accuracy,N/A,N/A,0,N/A,1,1,1,2,3,2,1,N/A,N/A,N/A,2,0,N/A,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,1
42,3,,1,4,1,1,1,N/A,100,N/A,1,"Precision, Recall, F1-score, bACC, BM, MK, MCC",5,5,5,5,5,4,5,5,5,5,4,1,5,4,5,5,3,1,5,5,5,3,5,5,5,4,1,0,0,1,0,3,1,5
43,3,,0,1,0,N/A,0,Accuracy,N/A,N/A,0,N/A,4,5,4,5,4,1,3,3,3,5,3,1,4,3,1,1,1,1,1,1,3,1,1,3,2,1,0,0,0,0,0,0,0,4
44,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3,,0,1,0,N/A,0,Accuracy,99,5,0,"Precision, Recall",3,2,3,5,5,3,4,5,5,5,3,1,4,5,2,5,1,1,1,1,3,1,2,4,4,2,0,0,0,0,0,0,1,5